# packet	field	type
# source_protocol_dir	1.18.30
# source_protocol_json	data/minecraft-data/bedrock/1.18.30/protocol.json
packet_violation_warning	severity	["mapper",{"type":"zigzag32","mappings":{"0":"warning","1":"final_warning","2":"terminating"}}]
packet_violation_warning	packet_id	"zigzag32"
packet_violation_warning	reason	"string"
photo_info_request	photo_id	"zigzag64"
photo_transfer	image_name	"string"
photo_transfer	image_data	"string"
photo_transfer	book_id	"string"
photo_transfer	photo_type	"u8"
photo_transfer	source_type	"u8"
photo_transfer	owner_entity_unique_id	"li64"
photo_transfer	new_photo_name	"string"
play_sound	name	"string"
play_sound	coordinates	"BlockCoordinates"
play_sound	volume	"lf32"
play_sound	pitch	"lf32"
play_status	status	["mapper",{"type":"i32","mappings":{"0":"login_success","1":"failed_client","2":"failed_spawn","3":"player_spawn","4":"failed_invalid_tenant","5":"failed_vanilla_edu","6":"failed_edu_vanilla","7":"failed_server_full"}}]
player_action	runtime_entity_id	"varint64"
player_action	action	"Action"
player_action	position	"BlockCoordinates"
player_action	face	"zigzag32"
player_armor_damage	type	"ArmorDamageType"
player_armor_damage	helmet_damage	["switch",{"compareTo":"type.head","fields":{"true":"zigzag32"}}]
player_armor_damage	chestplate_damage	["switch",{"compareTo":"type.chest","fields":{"true":"zigzag32"}}]
player_armor_damage	leggings_damage	["switch",{"compareTo":"type.legs","fields":{"true":"zigzag32"}}]
player_armor_damage	boots_damage	["switch",{"compareTo":"type.feet","fields":{"true":"zigzag32"}}]
player_auth_input	pitch	"lf32"
player_auth_input	yaw	"lf32"
player_auth_input	position	"vec3f"
player_auth_input	move_vector	"vec2f"
player_auth_input	head_yaw	"lf32"
player_auth_input	input_data	"InputFlag"
player_auth_input	input_mode	["mapper",{"type":"varint","mappings":{"0":"unknown","1":"mouse","2":"touch","3":"game_pad","4":"motion_controller"}}]
player_auth_input	play_mode	["mapper",{"type":"varint","mappings":{"0":"normal","1":"teaser","2":"screen","3":"viewer","4":"reality","5":"placement","6":"living_room","7":"exit_level","8":"exit_level_living_room","9":"num_modes"}}]
player_auth_input	gaze_direction	["switch",{"compareTo":"play_mode","fields":{"reality":"vec3f"}}]
player_auth_input	tick	"varint64"
player_auth_input	delta	"vec3f"
player_auth_input	transaction	["switch",{"compareTo":"input_data.item_interact","fields":{"true":["container",[{"name":"legacy","type":"TransactionLegacy"},{"name":"actions","type":"TransactionActions"},{"name":"data","type":"TransactionUseItem"}]]}}]
player_auth_input	item_stack_request	["switch",{"compareTo":"input_data.item_stack_request","fields":{"true":"ItemStackRequest"}}]
player_auth_input	block_action	["switch",{"compareTo":"input_data.block_action","fields":{"true":["array",{"countType":"zigzag32","type":["container",[{"name":"action","type":"Action"},{"anon":true,"type":["switch",{"compareTo":"action","fields":{"start_break":["container",[{"name":"position","type":"vec3i"},{"name":"face","type":"zigzag32"}]],"abort_break":["container",[{"name":"position","type":"vec3i"},{"name":"face","type":"zigzag32"}]],"crack_break":["container",[{"name":"position","type":"vec3i"},{"name":"face","type":"zigzag32"}]],"predict_break":["container",[{"name":"position","type":"vec3i"},{"name":"face","type":"zigzag32"}]],"continue_break":["container",[{"name":"position","type":"vec3i"},{"name":"face","type":"zigzag32"}]]}}]}]]}]}}]
player_enchant_options	options	["array",{"countType":"varint","type":"EnchantOption"}]
player_fog	stack	["array",{"countType":"varint","type":"string"}]
player_hotbar	selected_slot	"varint"
player_hotbar	window_id	"WindowID"
player_hotbar	select_slot	"bool"
player_input	motion_x	"lf32"
player_input	motion_z	"lf32"
player_input	jumping	"bool"
player_input	sneaking	"bool"
player_list	records	"PlayerRecords"
player_skin	uuid	"uuid"
player_skin	skin	"Skin"
player_skin	skin_name	"string"
player_skin	old_skin_name	"string"
player_skin	is_verified	"bool"
position_tracking_db_broadcast	broadcast_action	["mapper",{"type":"u8","mappings":{"0":"update","1":"destory","2":"not_found"}}]
position_tracking_db_broadcast	tracking_id	"zigzag32"
position_tracking_db_broadcast	nbt	"nbt"
position_tracking_db_request	action	["mapper",{"type":"u8","mappings":{"0":"query"}}]
position_tracking_db_request	tracking_id	"zigzag32"
purchase_receipt	receipts	["array",{"countType":"varint","type":"string"}]
remove_ecs_entity	network_id	"varint64"
remove_entity	entity_id_self	"zigzag64"
remove_objective	objective_name	"string"
remove_volume_entity	entity_id	"varint64"
request_chunk_radius	chunk_radius	"zigzag32"
resource_pack_chunk_data	pack_id	"string"
resource_pack_chunk_data	chunk_index	"lu32"
resource_pack_chunk_data	progress	"lu64"
resource_pack_chunk_data	payload	"ByteArray"
resource_pack_chunk_request	pack_id	"string"
resource_pack_chunk_request	chunk_index	"lu32"
resource_pack_client_response	response_status	["mapper",{"type":"u8","mappings":{"0":"none","1":"refused","2":"send_packs","3":"have_all_packs","4":"completed"}}]
resource_pack_client_response	resourcepackids	"ResourcePackIds"
resource_pack_data_info	pack_id	"string"
resource_pack_data_info	max_chunk_size	"lu32"
resource_pack_data_info	chunk_count	"lu32"
resource_pack_data_info	size	"lu64"
resource_pack_data_info	hash	"ByteArray"
resource_pack_data_info	is_premium	"bool"
resource_pack_data_info	pack_type	["mapper",{"type":"u8","mappings":{"1":"addon","2":"cached","3":"copy_protected","4":"behavior","5":"persona_piece","6":"resources","7":"skins","8":"world_template"}}]
resource_pack_stack	must_accept	"bool"
resource_pack_stack	behavior_packs	"ResourcePackIdVersions"
resource_pack_stack	resource_packs	"ResourcePackIdVersions"
resource_pack_stack	game_version	"string"
resource_pack_stack	experiments	"Experiments"
resource_pack_stack	experiments_previously_used	"bool"
resource_packs_info	must_accept	"bool"
resource_packs_info	has_scripts	"bool"
resource_packs_info	force_server_packs	"bool"
resource_packs_info	behaviour_packs	"BehaviourPackInfos"
resource_packs_info	texture_packs	"TexturePackInfos"
respawn	position	"vec3f"
respawn	state	"u8"
respawn	runtime_entity_id	"varint64"
rider_jump	jump_strength	"zigzag32"
script_custom_event	event_name	"string"
script_custom_event	event_data	"string"
script_message	message_id	"string"
script_message	data	"string"
server_settings_response	form_id	"varint"
server_settings_response	data	"string"
server_to_client_handshake	token	"string"
set_commands_enabled	enabled	"bool"
set_default_game_type	gamemode	"GameMode"
set_difficulty	difficulty	"varint"
set_display_objective	display_slot	"string"
set_display_objective	objective_name	"string"
set_display_objective	display_name	"string"
set_display_objective	criteria_name	"string"
set_display_objective	sort_order	"zigzag32"
set_entity_data	runtime_entity_id	"varint64"
set_entity_data	metadata	"MetadataDictionary"
set_entity_data	tick	"varint64"
set_entity_link	link	"Link"
set_entity_motion	runtime_entity_id	"varint64"
set_entity_motion	velocity	"vec3f"
set_health	health	"zigzag32"
set_last_hurt_by	entity_type	"varint"
set_local_player_as_initialized	runtime_entity_id	"varint64"
set_player_game_type	gamemode	"GameMode"
set_score	action	["mapper",{"type":"u8","mappings":{"0":"change","1":"remove"}}]
set_score	entries	["array",{"countType":"varint","type":["container",[{"name":"scoreboard_id","type":"zigzag64"},{"name":"objective_name","type":"string"},{"name":"score","type":"li32"},{"anon":true,"type":["switch",{"compareTo":"../action","fields":{"change":["container",[{"name":"entry_type","type":["mapper",{"type":"i8","mappings":{"1":"player","2":"entity","3":"fake_player"}}]},{"name":"entity_unique_id","type":["switch",{"compareTo":"entry_type","fields":{"player":"zigzag64","entity":"zigzag64"}}]},{"name":"custom_name","type":["switch",{"compareTo":"entry_type","fields":{"fake_player":"string"}}]}]]}}]}]]}]
set_scoreboard_identity	action	["mapper",{"type":"i8","mappings":{"0":"register_identity","1":"clear_identity"}}]
set_scoreboard_identity	entries	["array",{"countType":"varint","type":["container",[{"name":"scoreboard_id","type":"zigzag64"},{"name":"entity_unique_id","type":["switch",{"compareTo":"../action","fields":{"register_identity":"zigzag64"},"default":"void"}]}]]}]
set_spawn_position	spawn_type	["mapper",{"type":"zigzag32","mappings":{"0":"player","1":"world"}}]
set_spawn_position	player_position	"BlockCoordinates"
set_spawn_position	dimension	"zigzag32"
set_spawn_position	world_position	"BlockCoordinates"
set_time	time	"zigzag32"
set_title	type	["mapper",{"type":"zigzag32","mappings":{"0":"clear","1":"reset","2":"set_title","3":"set_subtitle","4":"action_bar_message","5":"set_durations","6":"set_title_json","7":"set_subtitle_json","8":"action_bar_message_json"}}]
set_title	text	"string"
set_title	fade_in_time	"zigzag32"
set_title	stay_time	"zigzag32"
set_title	fade_out_time	"zigzag32"
set_title	xuid	"string"
set_title	platform_online_id	"string"
settings_command	command_line	"string"
settings_command	suppress_output	"bool"
show_credits	runtime_entity_id	"varint64"
show_credits	status	"zigzag32"
show_profile	xuid	"string"
show_store_offer	offer_id	"string"
show_store_offer	show_all	"bool"
simple_event	event_type	["mapper",{"type":"lu16","mappings":{"0":"uninitialized_subtype","1":"enable_commands","2":"disable_commands","3":"unlock_world_template_settings"}}]
simulation_type	type	["mapper",{"type":"u8","mappings":{"0":"game","1":"editor","2":"test","3":"invalid"}}]
spawn_experience_orb	position	"vec3f"
spawn_experience_orb	count	"zigzag32"
spawn_particle_effect	dimension	"u8"
spawn_particle_effect	entity_id	"zigzag64"
spawn_particle_effect	position	"vec3f"
spawn_particle_effect	particle_name	"string"
spawn_particle_effect	molang_variables	["option","string"]
start_game	entity_id	"zigzag64"
start_game	runtime_entity_id	"varint64"
start_game	player_gamemode	"GameMode"
start_game	player_position	"vec3f"
start_game	rotation	"vec2f"
start_game	seed	"lu64"
start_game	biome_type	"li16"
start_game	biome_name	"string"
start_game	dimension	["mapper",{"type":"zigzag32","mappings":{"0":"overworld","1":"nether","2":"end"}}]
start_game	generator	"zigzag32"
start_game	world_gamemode	"GameMode"
start_game	difficulty	"zigzag32"
start_game	spawn_position	"BlockCoordinates"
start_game	achievements_disabled	"bool"
start_game	day_cycle_stop_time	"zigzag32"
start_game	edu_offer	"zigzag32"
start_game	edu_features_enabled	"bool"
start_game	edu_product_uuid	"string"
start_game	rain_level	"lf32"
start_game	lightning_level	"lf32"
start_game	has_confirmed_platform_locked_content	"bool"
start_game	is_multiplayer	"bool"
start_game	broadcast_to_lan	"bool"
start_game	xbox_live_broadcast_mode	"varint"
start_game	platform_broadcast_mode	"varint"
start_game	enable_commands	"bool"
start_game	is_texturepacks_required	"bool"
start_game	gamerules	"GameRules"
start_game	experiments	"Experiments"
start_game	experiments_previously_used	"bool"
start_game	bonus_chest	"bool"
start_game	map_enabled	"bool"
start_game	permission_level	"zigzag32"
start_game	server_chunk_tick_range	"li32"
start_game	has_locked_behavior_pack	"bool"
start_game	has_locked_resource_pack	"bool"
start_game	is_from_locked_world_template	"bool"
start_game	msa_gamertags_only	"bool"
start_game	is_from_world_template	"bool"
start_game	is_world_template_option_locked	"bool"
start_game	only_spawn_v1_villagers	"bool"
start_game	game_version	"string"
start_game	limited_world_width	"li32"
start_game	limited_world_length	"li32"
start_game	is_new_nether	"bool"
start_game	edu_resource_uri	"EducationSharedResourceURI"
start_game	experimental_gameplay_override	"bool"
start_game	level_id	"string"
start_game	world_name	"string"
start_game	premium_world_template_id	"string"
start_game	is_trial	"bool"
start_game	movement_authority	["mapper",{"type":"zigzag32","mappings":{"0":"client","1":"server","2":"server_with_rewind"}}]
start_game	rewind_history_size	"zigzag32"
start_game	server_authoritative_block_breaking	"bool"
start_game	current_tick	"li64"
start_game	enchantment_seed	"zigzag32"
start_game	block_properties	"BlockProperties"
start_game	itemstates	"Itemstates"
start_game	multiplayer_correlation_id	"string"
start_game	server_authoritative_inventory	"bool"
start_game	engine	"string"
start_game	block_pallete_checksum	"lu64"
stop_sound	name	"string"
stop_sound	stop_all	"bool"
structure_block_update	position	"BlockCoordinates"
structure_block_update	structure_name	"string"
structure_block_update	data_field	"string"
structure_block_update	include_players	"bool"
structure_block_update	show_bounding_box	"bool"
structure_block_update	structure_block_type	"zigzag32"
structure_block_update	settings	"StructureBlockSettings"
structure_block_update	redstone_save_mode	"zigzag32"
structure_block_update	should_trigger	"bool"
structure_template_data_export_request	name	"string"
structure_template_data_export_request	position	"BlockCoordinates"
structure_template_data_export_request	settings	"StructureBlockSettings"
structure_template_data_export_request	request_type	["mapper",{"type":"u8","mappings":{"1":"export_from_save","2":"export_from_load","3":"query_saved_structure"}}]
structure_template_data_export_response	name	"string"
structure_template_data_export_response	success	"bool"
structure_template_data_export_response	nbt	["switch",{"compareTo":"success","fields":{"true":"nbt"}}]
structure_template_data_export_response	response_type	["mapper",{"type":"u8","mappings":{"1":"export","2":"query"}}]
sub_client_login	tokens	["encapsulated",{"lengthType":"varint","type":"LoginTokens"}]
subchunk	cache_enabled	"bool"
subchunk	dimension	"zigzag32"
subchunk	origin	"vec3i"
subchunk	entries	["switch",{"compareTo":"cache_enabled","fields":{"true":"SubChunkEntryWithCaching","false":"SubChunkEntryWithoutCaching"}}]
subchunk_request	dimension	"zigzag32"
subchunk_request	origin	"vec3i"
subchunk_request	requests	["array",{"countType":"lu32","type":["container",[{"name":"dx","type":"i8"},{"name":"dy","type":"i8"},{"name":"dz","type":"i8"}]]}]
sync_entity_property	nbt	"nbt"
take_item_entity	runtime_entity_id	"varint64"
take_item_entity	target	"varint"
text	type	["mapper",{"type":"u8","mappings":{"0":"raw","1":"chat","2":"translation","3":"popup","4":"jukebox_popup","5":"tip","6":"system","7":"whisper","8":"announcement","9":"json_whisper","10":"json"}}]
text	needs_translation	"bool"
text		["switch",{"compareTo":"type","fields":{"chat":["container",[{"name":"source_name","type":"string"},{"name":"message","type":"string"}]],"whisper":["container",[{"name":"source_name","type":"string"},{"name":"message","type":"string"}]],"announcement":["container",[{"name":"source_name","type":"string"},{"name":"message","type":"string"}]],"raw":["container",[{"name":"message","type":"string"}]],"tip":["container",[{"name":"message","type":"string"}]],"system":["container",[{"name":"message","type":"string"}]],"json_whisper":["container",[{"name":"message","type":"string"}]],"json":["container",[{"name":"message","type":"string"}]],"translation":["container",[{"name":"message","type":"string"},{"name":"parameters","type":["array",{"countType":"varint","type":"string"}]}]],"popup":["container",[{"name":"message","type":"string"},{"name":"parameters","type":["array",{"countType":"varint","type":"string"}]}]],"jukebox_popup":["container",[{"name":"message","type":"string"},{"name":"parameters","type":["array",{"countType":"varint","type":"string"}]}]]}}]
text	xuid	"string"
text	platform_chat_id	"string"
tick_sync	request_time	"li64"
tick_sync	response_time	"li64"
ticking_areas_load_status	preload	"bool"
transfer	server_address	"string"
transfer	port	"lu16"
update_attributes	runtime_entity_id	"varint64"
update_attributes	attributes	"PlayerAttributes"
update_attributes	tick	"varint64"
update_block	position	"BlockCoordinates"
update_block	block_runtime_id	"varint"
update_block	flags	"UpdateBlockFlags"
update_block	layer	"varint"
update_block_properties	nbt	"nbt"
update_block_synced	position	"BlockCoordinates"
update_block_synced	block_runtime_id	"varint"
update_block_synced	flags	"UpdateBlockFlags"
update_block_synced	layer	"varint"
update_block_synced	entity_unique_id	"zigzag64"
update_block_synced	transition_type	["mapper",{"type":"varint","mappings":{"0":"entity","1":"create","2":"destroy"}}]
update_equipment	window_id	"WindowID"
update_equipment	window_type	"WindowType"
update_equipment	size	"u8"
update_equipment	entity_id	"zigzag64"
update_equipment	inventory	"nbt"
update_player_game_type	gamemode	"GameMode"
update_player_game_type	player_unique_id	"zigzag64"
update_soft_enum	enum_type	"string"
update_soft_enum	options	["array",{"countType":"varint","type":"string"}]
update_soft_enum	action_type	["mapper",{"type":"u8","mappings":{"0":"add","1":"remove","2":"update"}}]
update_subchunk_blocks	x	"zigzag32"
update_subchunk_blocks	y	"zigzag32"
update_subchunk_blocks	z	"zigzag32"
update_subchunk_blocks	blocks	["array",{"countType":"varint","type":"BlockUpdate"}]
update_subchunk_blocks	extra	["array",{"countType":"varint","type":"BlockUpdate"}]
update_trade	window_id	"WindowID"
update_trade	window_type	"WindowType"
update_trade	size	"varint"
update_trade	trade_tier	"varint"
update_trade	villager_unique_id	"varint64"
update_trade	entity_unique_id	"varint64"
update_trade	display_name	"string"
update_trade	new_trading_ui	"bool"
update_trade	economic_trades	"bool"
update_trade	offers	"nbt"
video_stream_connect	server_uri	"string"
video_stream_connect	frame_send_frequency	"lf32"
video_stream_connect	action	["mapper",{"type":"u8","mappings":{"1":"none","2":"close"}}]
video_stream_connect	resolution_x	"li32"
video_stream_connect	resolution_y	"li32"
